year,scenario_id,scenario_name_cn,scenario_order,candidate_count,pond_feasible_count,pond_selected_count,q_brine_m3_year,annual_electricity_kwh_year,annual_cost_cny_year,annual_carbon_tco2_year
2012,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2012,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2013,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,95707562.2298705,9728.282719300045
2013,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2013,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2014,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102764467.05059235,9728.282719300045
2014,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2014,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2015,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102289897.75116727,9728.282719300045
2015,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2015,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2016,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2016,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2016,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2017,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2017,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2017,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2018,estimated_favorable,有利情景,1,6,0,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2018,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2018,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2019,estimated_favorable,有利情景,1,6,1,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2019,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2019,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2020,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102688754.99010284,9728.282719300045
2020,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2020,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2021,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,98895654.60806073,9728.282719300045
2021,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2021,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2022,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,102259954.91959447,9728.282719300045
2022,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2022,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2023,estimated_favorable,有利情景,1,6,1,1,14273500.000000002,21768472.71839105,97768669.36902541,9728.282719300045
2023,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2023,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
2024,estimated_favorable,有利情景,1,6,0,0,14273500.000000002,44302382.33842246,102830077.2048489,21148.041624830796
2024,estimated_base,基准情景,2,6,0,0,28547000.000000004,447726755.824024,583494351.1037121,272158.91365414014
2024,estimated_stress,压力情景,3,6,0,0,57094000.00000001,1391760127.9104803,2577288625.770954,1015307.030221706
