year,scenario_id,scenario_name_cn,scenario_order,facility_count,mean_e_net_m_year,v_net_m3_year,v_service_m3_year,shadow_avoided_electricity_kwh_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,shadow_avoided_carbon_tco2_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,nonpositive_facility_count,negative_pi_cost_facility_count,v_net_10k_m3_year,v_service_10k_m3_year,nonpositive_facility_share_pct
1998,estimated_base,估算基准,2,2486,0.20991003720836685,17212189.84242,27471448.3760475,549428967.52095,769200554.52933,-1227892939.4814677,304977.4526157823,15421672646.205359,10024087220.033484,8218214.715359592,890,1536,1721.218984242,2747.14483760475,35.80048270313757
1998,estimated_upper,估算上界,3,2486,0.29305721641190674,23988940.650966004,32247943.458946005,806198586.4736501,1531777314.299935,-6045540040.281616,536205.3945111694,25156818974.368683,22641137076.931816,16084258.421820074,796,1677,2398.8940650966006,3224.7943458946006,32.01930812550282
1999,estimated_lower,估算下界,1,2486,0.13706628521319375,12417953.94834745,30206766.562304895,453101498.4345734,445549806.79399717,-59026870.176577665,209829.95362526766,9219356224.284449,4148710300.928002,3927548.0052883,1165,823,1241.795394834745,3020.6766562304897,46.862429605792435
1999,estimated_base,估算基准,2,2486,0.2922729082864039,25114064.3647575,38017419.462835,760348389.2567,1064487744.95938,-651307027.7268469,436608.4140981939,15583120213.524897,10129028138.791183,8297355.683908546,1086,1283,2511.40643647575,3801.7419462835,43.68463395012068
1999,estimated_upper,估算上界,3,2486,0.37662433386967026,32014124.373676006,42463527.118038006,1061588177.9509501,2017017538.1068053,-4471746361.180205,728278.8844975346,25422637233.2678,22880373509.94102,16240897.978251783,1007,1468,3201.4124373676004,4246.352711803801,40.50683829444892
2000,estimated_lower,估算下界,1,2486,0.11395519687047455,9597364.37600099,24691169.864922132,370367547.973832,364194755.5076015,-159651925.82648242,170588.46923902677,9401376891.426586,4230619601.141964,4007415.7251223135,1115,1032,959.736437600099,2469.116986492213,44.85116653258246
2000,estimated_base,估算基准,2,2486,0.26987380631536606,22353812.493875,33009185.975485,660183719.5097001,924257207.31358,-1053857133.724955,377375.9219836581,15889873569.540722,10328417820.20147,8465540.629519438,889,1522,2235.3812493875002,3300.9185975485,35.760257441673375
2000,estimated_upper,估算上界,3,2486,0.3546121810136767,29286664.731850006,38012711.124332,950317778.1083001,1805603778.4057703,-5850517701.463476,649015.9254259007,25920969437.180542,23328872493.46249,16568566.513401853,765,1714,2928.6664731850005,3801.2711124332004,30.77232502011263
2001,estimated_lower,估算下界,1,2486,0.1540354846661302,13025050.065165108,30523809.384514235,457857140.7677135,450226188.42158496,-115656844.03794709,211948.51497473277,9378396165.280731,4220278274.3763294,4000821.091994281,1004,1032,1302.5050065165108,3052.3809384514234,40.386162510056316
2001,estimated_base,估算基准,2,2486,0.3132721399839099,26051185.223,39286529.74824,785730594.9648,1100022832.95072,-902348840.0927241,450627.7569777993,15851181647.930967,10303268071.155128,8451664.462163161,855,1558,2605.1185223,3928.652974824,34.392598551890586
2001,estimated_upper,估算上界,3,2486,0.3998138004827032,33130606.504432008,44406504.408476,1110162610.2119002,2109308959.4026103,-5541978632.680101,760567.8808145173,25858285984.42801,23272457385.98521,16541612.789773414,757,1715,3313.0606504432008,4440.6504408476,30.45052292839903
2002,estimated_lower,估算下界,1,2486,0.10008196975060324,9542668.91809767,30684034.553917315,460260518.3087597,452589509.6702804,-46909867.8495638,211437.59322914356,9255702917.454378,4165066312.8544703,3945979.4211965427,1172,758,954.2668918097669,3068.4034553917313,47.144006436041835
2002,estimated_base,估算基准,2,2486,0.25797686242960577,22457341.94139,38926737.82919,778534756.5838,1089948659.21732,-749977332.7475452,443484.58395188453,15643957800.176785,10168572570.11491,8335923.787868144,990,1360,2245.734194139,3892.673782919,39.823008849557525
2002,estimated_upper,估算上界,3,2486,0.34378930410297676,29476185.975788005,43737209.604214005,1093430240.10535,2077517456.2001653,-4851888890.73737,744397.7103345336,25520467928.56238,22968421135.706146,16315316.993545735,908,1563,2947.6185975788003,4373.7209604214,36.52453740949316
2003,estimated_lower,估算下界,1,2486,0.16694879719227662,13715338.538335528,21356708.20136589,320350623.0204884,315011445.9701469,-248054582.2165611,132697.1526467488,9497767370.721407,4273995316.8246336,4062182.286826437,1029,1264,1371.5338538335527,2135.670820136589,41.3917940466613
2003,estimated_base,估算基准,2,2486,0.3232774024537409,26440780.742207497,30642714.199215,612854283.9843,857995997.57802,-1523013538.66827,318173.106878567,16051918241.028328,10433746856.668413,8580723.851746993,616,1765,2644.07807422075,3064.2714199214997,24.778761061946902
2003,estimated_upper,估算上界,3,2486,0.4082386009654063,33356781.939964004,36369310.23092,909232755.7730001,1727542235.9687002,-7478397657.610629,566768.0602496807,26183302158.77348,23564971942.896133,16792586.24325648,483,1978,3335.6781939964003,3636.931023092,19.428801287208366
2004,estimated_lower,估算下界,1,2486,0.3020509628720835,25203375.66726755,30881908.614286393,463228629.21429586,455508152.06072426,-267049774.47078478,205744.05791373894,9358404145.703648,4211281865.5666413,3992675.8857508367,644,1555,2520.337566726755,3088.1908614286394,25.905068382944492
2004,estimated_base,估算基准,2,2486,0.47085311242960576,38986507.744815,42251985.943077505,845039718.86155,1183055606.4061701,-1399385681.979275,465780.5754863682,15816501414.081905,10280725919.15324,8434004.852371067,490,1887,3898.6507744815,4225.198594307751,19.710378117457765
2004,estimated_upper,估算上界,3,2486,0.5625934111021723,46477340.395656005,48815960.67341801,1220399016.8354502,2318758131.987355,-7516869767.139971,804033.6462826458,25799481921.272434,23219533729.14519,16505688.092152584,383,2083,4647.7340395656,4881.5960673418,15.406275140788415
2005,estimated_lower,估算下界,1,2486,0.16672793213998374,13528607.007253308,25149496.025232952,377242440.37849426,370955066.37218606,-221816298.68744734,170203.63211373703,9488730736.279192,4269928831.325637,4051300.0378340604,950,1218,1352.8607007253308,2514.949602523295,38.21399839098954
2005,estimated_base,估算基准,2,2486,0.3329474648028962,27093127.464855,34686370.5131425,693727410.26285,971218374.36799,-1177684717.8275232,389173.58760568337,16037282698.081268,10424233753.752825,8558117.392963713,780,1606,2709.3127464855,3468.6370513142497,31.37570394207562
2005,estimated_upper,估算上界,3,2486,0.42328416733708774,34465149.452682,40223215.57503801,1005580389.3759501,1910602739.8143053,-6197702436.896633,674936.4786721746,26161049298.051117,23544944368.246006,16749501.395263543,677,1790,3446.5149452682003,4022.3215575038007,27.232502011263072
2006,estimated_lower,估算下界,1,2486,0.2253486012872082,18505877.43802877,30187415.17658457,452811227.6487686,445264373.8546224,-203186821.162144,203784.33409942224,9239314193.244724,4157691386.9601264,3941982.801376925,790,1234,1850.5877438028772,3018.7415176584573,31.77795655671762
2006,estimated_base,估算基准,2,2486,0.3927786685438455,32163412.7963325,40506336.155225,810126723.1045,1134177412.3463001,-1192461688.0522602,451724.3266858355,15615928673.67084,10150353637.886045,8327275.037624701,611,1770,3216.34127963325,4050.6336155225003,24.577634754625905
2006,estimated_upper,估算上界,3,2486,0.48377327031375716,39585986.36062801,46395701.96304601,1159892549.0761502,2203795843.244685,-6309253831.438164,772989.8011898554,25474136413.522903,22926722772.170612,16297922.540146524,560,1904,3958.598636062801,4639.5701963046,22.52614641995173
2007,estimated_lower,估算下界,1,2486,0.26289158283185826,21583511.183521327,26522104.33551961,397831565.0327942,391201038.9489143,-263745217.70056984,177708.09967430314,9203488474.397432,4141569813.4788446,3924164.707689616,802,1336,2158.3511183521327,2652.210433551961,32.260659694288016
2007,estimated_base,估算基准,2,2486,0.4318215587288818,35357706.2843225,37796405.22461,755928104.4922,1058299346.28908,-1604317245.5643413,417451.5262378273,15555037956.65731,10110774671.827251,8289478.537520475,413,1972,3535.77062843225,3779.6405224610003,16.6130329847144
2007,estimated_upper,估算上界,3,2486,0.5236313282381336,42843681.882584006,44550827.468334004,1113770686.7083502,2116164304.7458653,-7972452110.459258,734089.7042713958,25373752986.834003,22836377688.150604,16223337.635586297,300,2168,4284.368188258401,4455.0827468334,12.067578439259854
2008,estimated_lower,估算下界,1,2486,0.14263609219629914,11807357.906477889,25423618.075559214,381354271.1333882,374998366.6144984,-210246712.77388573,173289.13083016756,9507429938.876474,4278343472.4944134,4057000.8574302495,976,1221,1180.735790647789,2542.3618075559216,39.259855189058726
2008,estimated_base,估算基准,2,2486,0.3065037610619469,25170154.6133925,34707171.7812675,694143435.62535,971800809.8754901,-1217197935.7881324,392021.0056456303,16068957996.08987,10444822697.458416,8570209.275090562,766,1623,2517.0154613392497,3470.7171781267502,30.81255028157683
2008,estimated_upper,估算上界,3,2486,0.39556227674979894,32432544.128020007,40157944.421008006,1003948610.5252001,1907502359.9978802,-6361211748.168572,677907.4613397559,26212628116.79309,23591365305.113785,16773127.328181535,670,1803,3243.254412802001,4015.7944421008006,26.950925181013673
