year,scenario_id,scenario_name_cn,scenario_order,facility_count,mean_e_net_m_year,v_net_m3_year,v_service_m3_year,shadow_avoided_electricity_kwh_year,shadow_gross_mechanical_cost_cny_year,shadow_net_cost_difference_cny_year,shadow_avoided_carbon_tco2_year,process_electricity_kwh_year,process_electricity_cost_cny_year,process_electricity_carbon_tco2_year,nonpositive_facility_count,negative_pi_cost_facility_count,v_net_10k_m3_year,v_service_10k_m3_year,nonpositive_facility_share_pct
2017,estimated_lower,估算下界,1,2486,0.11559695577634743,10339526.56661163,26647773.903927334,399716608.55891,393054665.0829282,-99707980.52763426,182410.47646990974,9170005559.812965,4126502501.9158344,3909175.2216978325,1201,886,1033.952656661163,2664.777390392733,48.31053901850362
2017,estimated_base,估算基准,2,2486,0.28022855289621884,23801983.086625002,35173100.69568,703462013.9136,984846819.47904,-942409123.8041388,399329.3465911017,15499063782.993576,10074391458.945824,8258167.901882374,951,1441,2380.1983086625,3517.310069568,38.25422365245374
2017,estimated_upper,估算上界,3,2486,0.3697022469831055,31118535.54315401,40308165.23187201,1007704130.7968001,1914637848.5139203,-5469792426.211472,684208.4016062932,25283968506.03601,22755571655.43241,16163106.333326248,859,1615,3111.8535543154007,4030.816523187201,34.55349959774738
2018,estimated_lower,估算下界,1,2486,0.07592461128720823,6986556.833631429,23607030.481884714,354105457.2282707,348203699.60779953,-122378577.0042635,160755.5447554002,9228563363.03832,4152853513.367244,3935567.737965182,1252,943,698.6556833631429,2360.7030481884713,50.362027353177794
2018,estimated_base,估算基准,2,2486,0.23926244267900243,20337735.69509,31405380.70503,628107614.1006,879350659.74084,-821348363.3617902,354489.3889842357,15597639919.724451,10138465947.820892,8313698.139406651,1107,1293,2033.773569509,3140.538070503,44.52936444086887
2018,estimated_upper,估算上界,3,2486,0.32803300321802104,27593811.16327401,36138598.854086004,903464971.3521501,1716583445.5690854,-5334646944.89125,610075.8674665099,25443723634.122044,22899351270.70984,16271073.744178774,914,1561,2759.381116327401,3613.8598854086003,36.76588897827836
2019,estimated_lower,估算下界,1,2486,0.13553699916331438,12219866.501430746,32189854.47485705,482847817.1228558,474800353.5041415,-82888337.14479493,218423.7582879328,9091702385.797888,4091266073.6090493,3875924.535100656,1038,889,1221.9866501430747,3218.985447485705,41.7538213998391
2019,estimated_base,估算基准,2,2486,0.30455440466613026,26051445.307974998,41495112.280182496,829902245.60365,1161863143.84511,-763128074.9744048,467413.90721172426,15366632409.414093,9988311066.119162,8187927.607321661,932,1421,2605.1445307975,4149.511228018249,37.48994368463395
2019,estimated_upper,估算上界,3,2486,0.3964116902654868,33568607.70283601,46758473.685774006,1168961842.14435,2221027500.074265,-4853992727.879432,788243.508546256,25067524560.64711,22560772104.5824,16025485.516708106,884,1577,3356.8607702836007,4675.847368577401,35.55913113435237
2020,estimated_lower,估算下界,1,2486,-0.1640490037972648,-12329617.891230531,17809761.065361816,267146415.98042724,262693975.71408677,-148774960.34045997,116697.20553114958,9242623149.838886,4159180417.427499,3944660.602744246,1393,922,-1232.961789123053,1780.9761065361815,56.033789219629924
2020,estimated_base,估算基准,2,2486,-0.0021120796460176875,912142.2349950008,24749169.274455,494983385.48910004,692976739.6847401,-758183042.5592612,270349.8385782913,15621343586.383675,10153873331.14939,8332879.055347857,1297,1107,91.21422349950008,2474.9169274455,52.17216411906678
2020,estimated_upper,估算上界,3,2486,0.08589711826226878,8108750.999248006,28785641.179540005,719641029.4885001,1367317956.0281503,-4136598703.612359,471684.81041520473,25482338544.137627,22934104689.72386,16308596.128480555,1221,1254,810.8750999248007,2878.5641179540003,49.11504424778761
2021,estimated_lower,估算下界,1,2486,-0.12462214504424793,-9626499.298973152,12699162.832844716,190487442.4926707,187312651.78445956,-181752614.4001438,78312.44022807122,9142670658.26606,4114201796.2197275,3903037.2343859593,1501,828,-962.6499298973152,1269.9162832844715,60.37811745776348
2021,estimated_base,估算基准,2,2486,0.03567871379726467,3469450.957152499,19314394.631105,386287892.6221,540803049.67094,-967338681.0002418,201686.5284369673,15452216008.53706,10043940405.54909,8244830.702305555,1261,1135,346.94509571524986,1931.4394631105,50.724054706355595
2021,estimated_upper,估算上界,3,2486,0.1227987457763476,10586815.226786006,23575390.633458003,589384765.8364501,1119831055.089255,-5330826963.209581,371072.1971253073,25206031312.7755,22685428181.49795,16135974.616773626,1055,1419,1058.6815226786007,2357.5390633458005,42.43765084473049
2022,estimated_lower,估算下界,1,2486,0.060929880997586346,5253369.226826108,21122802.133762993,316842032.00644493,311561331.47300416,-251510022.31189105,143822.75276849372,9218557311.623703,4148350790.2306666,3933280.0976565885,1034,1280,525.3369226826109,2112.2802133762993,41.5929203539823
2022,estimated_base,估算基准,2,2486,0.23008052292839903,19084833.832935,30373779.966197502,607475599.32395,850465839.05353,-1226421825.8020658,342726.6033237244,15580662684.903618,10127430745.187351,8308750.596655973,837,1580,1908.4833832935,3037.3779966197503,33.668543845535
2022,estimated_upper,估算上界,3,2486,0.32201021962992765,26601934.16234201,35833543.424536005,895838585.6134001,1702093312.6654603,-6165560515.769761,604304.103029587,25416200924.32708,22874580831.89437,16261292.511577537,730,1746,2660.193416234201,3583.3543424536006,29.36444086886565
2023,estimated_lower,估算下界,1,2486,0.05084943598551876,4619283.310398108,21978016.050243754,329670240.7536563,324175736.74109536,-146117754.81620878,144701.17032051386,9039758525.619633,4067891336.5288353,3857973.208197771,1255,987,461.9283310398108,2197.8016050243755,50.4827031375704
2023,estimated_base,估算基准,2,2486,0.2162474567578439,18141119.711175,30092541.673535,601850833.4707,842591166.8589801,-901297871.9120675,330276.22411693085,15278894028.134426,9931281118.287378,8149953.244858516,1069,1317,1814.1119711175,3009.2541673535,43.00080450522928
2023,estimated_upper,估算上界,3,2486,0.30613768543845543,25489943.842032008,34979371.090394005,874484277.2598501,1661520126.7937152,-5339117154.880094,575266.3374608733,24924709647.187447,22432238682.468704,15951131.898088885,897,1560,2548.9943842032008,3497.9371090394006,36.08205953338697
2024,estimated_lower,估算下界,1,2486,-0.18278510139983922,-14591959.205235971,15211280.125999415,228169201.88999122,224366381.85849136,-193262141.10282588,100845.8747669916,8982851217.140121,4042283047.713055,3831825.398049636,1382,991,-1459.1959205235971,1521.1280125999415,55.59131134352373
2024,estimated_base,估算基准,2,2486,-0.017639171359613817,-1089441.899984998,22257239.793205,445144795.86410004,623202714.20974,-903785027.2472603,246306.62812314776,15182670979.42151,9868736136.623981,8094695.114469575,1233,1197,-108.9441899984998,2225.7239793205,49.597747385358005
2024,estimated_upper,估算上界,3,2486,0.07211405148833476,6248882.722434008,26439421.372772004,660985534.3193002,1255872515.2066703,-4412053140.237586,438575.0568568598,24767808915.557663,22291028024.001896,15843048.766552024,1157,1312,624.8882722434007,2643.9421372772003,46.54062751407884
