year,scenario_id,scenario_name_cn,process_type_p,facility_count,annual_wastewater_m3_year,process_electricity_kwh_year,process_electricity_carbon_tco2_year,shadow_avoided_carbon_tco2_year,process_carbon_share_pct,process_carbon_10k_tco2_year,process_name_cn
2000,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11663435750.066078,6237939.524937142,355073.5586295236,73.68625109641994,623.7939524937142,氧化沟/SBR
2001,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49283919.259396136,26812.5958050959,15623.186574285,0.3172463356198283,2.68125958050959,稳定塘/氧化塘
2001,estimated_base,估算基准,low_conventional,166,13498795000.0,4170965575.30366,2198780.0364957107,8607.9717207654,26.01594095860431,219.87800364957107,常规工艺
2001,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11630932153.36791,6226071.829862355,426396.5986827489,73.66681270577587,622.6071829862356,氧化沟/SBR
2002,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48827403.490866505,26550.82630262889,14574.5366200425,0.3185109050693359,2.655082630262889,稳定塘/氧化塘
2002,estimated_base,估算基准,low_conventional,166,13498795000.0,4117789260.2278256,2169992.155724434,8240.70835033887,26.031813761092398,216.9992155724434,常规工艺
2002,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11477341136.458092,6139380.805841081,420669.33898150316,73.64967533383826,613.9380805841081,氧化沟/SBR
2003,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49951983.681307785,27243.15521308678,11808.3373268825,0.31749250627078746,2.724315521308678,稳定塘/氧化塘
2003,estimated_base,估算基准,low_conventional,166,13498795000.0,4202206571.986765,2220456.3893747777,7782.626653851839,25.877261962260956,222.04563893747778,常规工艺
2003,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11799759685.360256,6333024.307159129,298582.1428978327,73.80524553146826,633.3024307159128,氧化沟/SBR
2004,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49360728.36089976,26849.85590440342,18335.2225220225,0.3183523886265618,2.684985590440342,稳定塘/氧化塘
2004,estimated_base,估算基准,low_conventional,166,13498795000.0,4141684464.7239666,2183933.2430855655,10189.66177411536,25.89437973196793,218.39332430855654,常规工艺
2004,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11625456220.99704,6223221.753381099,437255.6911902303,73.78726787940552,622.3221753381099,氧化沟/SBR
2005,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49737823.735782415,27077.329947399354,16443.424233835,0.31639353264377634,2.7077329947399353,稳定塘/氧化塘
2005,estimated_base,估算基准,low_conventional,166,13498795000.0,4213141201.7342653,2223366.850822125,7997.11084482573,25.979625526638905,222.3366850822125,常规工艺
2005,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11774403672.611221,6307673.212194189,364733.05252702266,73.7039809407173,630.7673212194189,氧化沟/SBR
2006,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48482262.27234061,26376.040238112717,16981.541863685,0.3167427534089988,2.6376040238112717,稳定塘/氧化塘
2006,estimated_base,估算基准,low_conventional,166,13498795000.0,4106004268.980432,2164851.8543225345,9123.10219207713,25.997122042219033,216.48518543225345,常规工艺
2006,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11461442142.418068,6136047.143064054,425619.68263007334,73.68613520437196,613.6047143064054,氧化沟/SBR
2007,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48667413.30826206,26463.872967863383,16103.7507092725,0.31924653460504865,2.6463872967863384,稳定塘/氧化塘
2007,estimated_base,估算基准,low_conventional,166,13498795000.0,4079471295.016262,2149847.178809239,8498.81485124904,25.934649195102388,214.9847178809239,常规工艺
2007,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11426899248.332787,6113167.485743373,392848.96067730576,73.74610427029256,611.3167485743372,氧化沟/SBR
2008,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50226168.09074179,27340.059589589728,15604.2233054325,0.3190127418364684,2.734005958958973,稳定塘/氧化塘
2008,estimated_base,估算基准,low_conventional,166,13498795000.0,4219292488.3637705,2225433.374825578,7188.6540925238705,25.967083222738,222.54333748255783,常规工艺
2008,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11799439339.635357,6317435.840675395,369228.1282476739,73.71390403542551,631.7435840675395,氧化沟/SBR
2009,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,49434628.963442415,26927.002180262363,15892.6883309325,0.31722211112309034,2.6927002180262365,稳定塘/氧化塘
2009,estimated_base,估算基准,low_conventional,166,13498795000.0,4173535174.9205775,2203491.212809428,8185.23877635285,25.958928873298547,220.34912128094282,常规工艺
2009,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11674064459.13955,6257956.723607824,414483.0870703949,73.72384901557835,625.7956723607824,氧化沟/SBR
2010,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50193054.87671321,27359.313942586043,13950.0736787775,0.31545015600618154,2.7359313942586043,稳定塘/氧化塘
2010,estimated_base,估算基准,low_conventional,166,13498795000.0,4273110679.1029596,2257783.080470383,5878.72534269234,26.032013319380027,225.7783080470383,常规工艺
2010,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11909952107.149029,6387959.654092569,342637.596861299,73.65253652461381,638.7959654092568,氧化沟/SBR
2011,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50731882.3475659,27640.75308249422,15735.919609280001,0.31793294359125873,2.764075308249422,稳定塘/氧化塘
2011,estimated_base,估算基准,low_conventional,166,13498795000.0,4279203740.7151093,2258738.935710527,9605.49448016568,25.980750831620725,225.8738935710527,常规工艺
2011,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11956270382.554022,6407514.303529384,439439.3207659003,73.70131622478803,640.7514303529383,氧化沟/SBR
2012,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,50842012.04776637,27737.31106856811,13261.26218713,0.3187299886192127,2.773731106856811,稳定塘/氧化塘
2012,estimated_base,估算基准,low_conventional,166,13498795000.0,4280046278.710248,2261518.727580676,6670.84871548881,25.98715630805145,226.15187275806758,常规工艺
2012,estimated_base,估算基准,medium_oxidation_sbr,2127,20547492500.0,11959780865.361847,6413191.819718401,357994.963842387,73.69411370332935,641.3191819718401,氧化沟/SBR
2013,estimated_base,估算基准,high_pond_lagoon,193,214328000.0,48927284.03745473,26622.389575651105,15488.327097325,0.31494944482791754,2.6622389575651106,稳定塘/氧化塘
2013,estimated_base,估算基准,low_conventional,166,13498795000.0,4172123144.0501957,2200762.0195932505,8504.841276651241,26.0355583145398,220.07620195932506,常规工艺
